"thrust-rfile"
"Iteration" "thrust"
("Iteration" "thrust")
1 10287.29
2 9914.982
3 9592.747
4 8573.267
5 7392.903
6 6224.338
7 5174.07
8 4293.936
9 3570.911
10 3069.672
11 2659.846
12 2345.048
13 2153.277
14 1998.753
15 1886.715
16 1801.473
17 1748.548
18 1716.418
19 1699.708
20 1698.721
21 1701.588
22 1712.603
23 1728.152
24 1744.236
25 1762.156
26 1780.238
27 1795.782
28 1810.859
29 1825.374
30 1836.754
31 1844.912
32 1850.773
33 1854.071
34 1855.72
35 1855.251
36 1853.148
37 1849.876
38 1845.583
39 1840.155
40 1833.848
41 1826.829
42 1819.349
43 1811.426
44 1803.07
45 1794.505
46 1785.976
47 1777.436
48 1769.038
49 1760.675
50 1752.356
51 1744.086
52 1735.724
53 1727.568
54 1719.391
55 1711.261
56 1703.121
57 1694.803
58 1686.562
59 1678.441
60 1670.086
61 1661.601
62 1653.073
63 1644.423
64 1635.587
65 1626.533
66 1617.243
67 1607.654
68 1597.522
69 1587.184
70 1576.493
71 1565.628
72 1554.251
73 1542.506
74 1530.265
75 1517.64
76 1504.733
77 1491.577
78 1478.256
79 1464.469
80 1450.435
81 1436.182
82 1421.751
83 1406.931
84 1391.931
85 1376.764
86 1361.159
87 1345.431
88 1329.587
89 1313.451
90 1303.086
91 1283.466
92 1265.498
93 1254.512
94 1234.054
95 1215.432
96 1204.166
97 1183.239
98 1171.451
99 1149.877
100 1137.723
101 1115.978
102 1103.858
